,celeb_bd,partner_bd,celeb_nominated,partner_nominated,marriage_status,celeb_gender,partner_gender
 Renn Hawkey / Vera Farmiga,1973-8-6,1974-3-29,True,False,"
(13 September 2008            - 
present) (    2 children)          ",Female,Male
 Sebastian Roché / Vera Farmiga,1973-8-6,1964-8-4,True,False,"
(1997            - 
2004) (    divorced)          ",Female,Male
 Charles MacArthur / Helen Hayes,1900-10-10,1895-11-5,True,True,"
(17 August 1928            - 
21 April 1956) (    his death) (    2 children)          ",Female,Male
               James H. Dalton          / Marie Dressler,1868-11-9,-1,True,False,"
(1908            - 
29 November 1921) (    his death)          ",Female,-1
               George Hoppert          / Marie Dressler,1868-11-9,-1,True,False,"
(6 May 1894            - 
29 October 1896) (    divorced) (    1 child)          ",Female,-1
 Paul Gregory / Janet Gaynor,1906-10-6,1920-8-27,True,False,"
(24 December 1964            - 
14 September 1984) (    her death)          ",Female,Male
 Adrian / Janet Gaynor,1906-10-6,1903-3-3,True,False,"
(14 August 1939            - 
13 September 1959) (    his death) (    1 child)          ",Female,Male
               Jesse Lydell Peck          / Janet Gaynor,1906-10-6,-1,True,False,"
(11 September 1929            - 
7 April 1933) (    divorced)          ",Female,-1
 Sidney Hicks / Mo'Nique,1967-12-11,-1,True,False,"
(20 May 2006            - 
present) (    2 children)          ",Female,Male
               Mark Jackson          / Mo'Nique,1967-12-11,-1,True,False,"
(25 December 1997            - 
3 April 2001) (    divorced) (    2 children)          ",Female,-1
               Kevin Grandalski          / Marlee Matlin,1965-8-24,-1,True,False,"
(29 August 1993            - 
present) (    4 children)          ",Female,-1
 Kenny Chesney / Renée Zellweger,1969-4-25,1968-3-26,True,False,"
(9 May 2005            - 
20 December 2005) (    annulled)          ",Female,Male
 Thaddaeus Scheel / Marcia Gay Harden,1959-8-14,1965-1-15,True,False,"
(9 July 1996            - 
2012) (    divorced) (    3 children)          ",Female,-1
 Stephen Moyer / Anna Paquin,1982-7-24,1969-10-11,True,False,"
(21 August 2010            - 
present) (    2 children)          ",Female,Male
               David Geiser          / Mercedes Ruehl,1948-2-28,-1,True,False,"
(?            - 
present) (    1 child)          ",Female,-1
 Barry Davis / Brenda Fricker,1945-2-17,1936-4-11,True,False,"
(1979            - 
1988) (    divorced)          ",Female,-1
 Zofia Borucka / Jean Reno,1948-7-30,1972-2-24,False,False,"
(29 July 2006            - 
present) (    2 children)          ",Male,Female
               Nathalie Dyszkiewicz          / Jean Reno,1948-7-30,-1,False,False,"
(1996            - 
2001) (    divorced) (    2 children)          ",Male,-1
               Genevieve Reno          / Jean Reno,1948-7-30,-1,False,False,"
(1977            - 
1995) (    divorced) (    2 children)          ",Male,-1
 Magda Gabor / George Sanders,1906-7-3,1915-6-11,True,False,"
(5 December 1970            - 
1971) (    divorced)          ",Male,Female
 Benita Hume / George Sanders,1906-7-3,1906-10-14,True,False,"
(10 February 1959            - 
1 November 1967) (    her death)          ",Male,Female
 Zsa Zsa Gabor / George Sanders,1906-7-3,1917-2-6,True,False,"
(2 April 1949            - 
2 April 1954) (    divorced)          ",Male,Female
               Susan Larson          / George Sanders,1906-7-3,-1,True,False,"
(1940            - 
1949) (    divorced)          ",Male,-1
 Etta Jagger / Dean Jagger,1903-11-7,1925-10-16,True,False,"
(19 July 1968            - 
5 February 1991) (    his death)          ",Male,Female
               Gloria Ling          / Dean Jagger,1903-11-7,-1,True,False,"
(25 January 1947            - 
1967) (    divorced) (    1 child)          ",Male,-1
               Antoinette duPre Lowrence          / Dean Jagger,1903-11-7,-1,True,False,"
(27 January 1935            - 
31 December 1943) (    divorced)          ",Male,-1
 Ninetta Sunderland / Walter Huston,1883-4-5,1898-4-13,True,False,"
(9 November 1931            - 
7 April 1950) (    his death)          ",Male,Female
               Fanny Elmina Rose (Bayonne Whipple)          / Walter Huston,1883-4-5,-1,True,False,"
(1915            - 
14 October 1931) (    divorced)          ",Male,-1
               Rhea Katherine Gore          / Walter Huston,1883-4-5,-1,True,False,"
(2 December 1904            - 
1911) (    divorced) (    1 child)          ",Male,-1
               Marguerite Terry          / Edmund Gwenn,1877-9-26,-1,True,False,"
(1901            - 
1917) (    divorced)          ",Male,-1
               Elizabeth Marshallsea          / Harold Russell,1914-1-14,-1,True,False,"
(26 August 1981            - 
29 January 2002) (    his death)          ",Male,-1
               Rita Russell          / Harold Russell,1914-1-14,-1,True,False,"
(27 February 1946            - 
21 July 1978) (    her death) (    2 children)          ",Male,-1
               Anna Eberstein          / Hugh Grant,1960-9-9,-1,True,False,"
(25 May 2018            - 
present) (    3 children)          ",Male,-1
               Winifred Jean Clements Natzka          / Charles Coburn,1877-6-19,-1,True,False,"
(18 October 1959            - 
30 August 1961) (    his death) (    1 child)          ",Male,-1
"               Ivah Myrtle ""Mae"" Wills          / Charles Coburn",1877-6-19,-1,True,False,"
(20 January 1906            - 
27 April 1937) (    her death) (    6 children)          ",Male,-1
 Frances E. Neal / Van Heflin,1908-12-13,1920-6-27,True,False,"
(16 May 1942            - 
1967) (    divorced) (    3 children)          ",Male,Female
 Eleanor Shaw / Van Heflin,1908-12-13,1913-5-23,True,False,"
(20 July 1934            - 
8 October 1936) (    divorced)          ",Male,Female
 Jane Murfin / Donald Crisp,1882-7-27,1884-10-27,True,True,"
(15 August 1932            - 
1944) (    divorced)          ",Male,Female
 Marie Crisp / Donald Crisp,1882-7-27,1892-1-25,True,False,"
(15 December 1917            - 
1920) (    divorced)          ",Male,Female
               Helen Pease (actress)          / Donald Crisp,1882-7-27,-1,True,False,"
(1 January 1912            - 
1913) (    her death)          ",Male,-1
               Anne Stewart Brewer          / Thomas Mitchell,1892-7-11,-1,True,False,"
(1915            - 
1935) (    divorced) (    1 child)          ",Male,-1
               Rachel Barnes Hartzell          / Thomas Mitchell,1892-7-11,-1,True,False,"
(26 August 1937            - 
1939) (    divorced) (    1 child)          ",Male,-1
 Ruth Wells Brennan / Walter Brennan,1894-7-25,1897-12-8,True,False,"
(17 October 1920            - 
21 September 1974) (    his death) (    3 children)          ",Male,Female
               Leonora C. Rogers          / Joseph Schildkraut,1896-3-22,-1,True,False,"
(22 March 1963            - 
21 January 1964) (    his death)          ",Male,-1
               Lillian Marie McKay          / Joseph Schildkraut,1896-3-22,-1,True,False,"
(27 May 1932            - 
17 February 1962) (    her death)          ",Male,-1
 Elise Bartlett / Joseph Schildkraut,1896-3-22,1899-10-5,True,False,"
(7 April 1922            - 
9 June 1930) (    divorced)          ",Male,Female
 Jenna Dewan / Channing Tatum,1980-4-26,1980-12-3,False,False,"
(11 July 2009            - 
19 November 2019) (    divorced) (    1 child)          ",Male,Female
 Deborra-Lee Furness / Hugh Jackman,1968-10-12,1955-12-8,True,False,"
(11 April 1996            - 
present) (    2 children)          ",Male,Female
 Lauren Hashian / Dwayne Johnson,1972-5-2,1984-9-8,False,False,"
(18 August 2019            - 
present) (    2 children)          ",Male,Female
 Dany Garcia / Dwayne Johnson,1972-5-2,1968-11-29,False,False,"
(3 May 1997            - 
19 May 2008) (    divorced) (    1 child)          ",Male,Female
 Jackie Sandler / Adam Sandler,1966-9-9,1974-9-24,True,False,"
(22 June 2003            - 
present) (    2 children)          ",Male,Female
 Rachel Weisz / Daniel Craig,1968-3-2,1970-3-7,True,True,"
(22 June 2011            - 
present) (    1 child)          ",Male,Female
               Fiona Loudon          / Daniel Craig,1968-3-2,-1,True,False,"
(1992            - 
1994) (    divorced) (    1 child)          ",Male,-1
 Jennifer Garner / Ben Affleck,1972-8-15,1972-4-17,True,True,"
(29 June 2005            - 
4 October 2018) (    divorced) (    3 children)          ",Male,Female
 Louis Zorich / Olympia Dukakis,1931-6-20,1924-2-12,True,False,"
(30 November 1962            - 
30 January 2018) (    his death) (    3 children)          ",Female,Male
 Jeremy Hutchinson / Peggy Ashcroft,1907-12-22,1915-3-28,True,False,"
(14 September 1940            - 
22 December 1965) (    divorced) (    2 children)          ",Female,Male
 Theodor Komisarjevsky / Peggy Ashcroft,1907-12-22,1882-5-23,True,False,"
(1 December 1934            - 
15 June 1937) (    divorced)          ",Female,-1
               Sir Rupert Hart-Davis          / Peggy Ashcroft,1907-12-22,-1,True,False,"
(23 December 1929            - 
31 October 1933) (    divorced)          ",Female,-1
               Karen Klein          / Linda Hunt,1945-4-2,-1,True,False,"
(2008            - 
present)          ",Female,-1
 David Rayfiel / Maureen Stapleton,1925-6-21,1923-9-9,True,False,"
(3 July 1963            - 
1966) (    divorced)          ",Female,Male
               Max A. Allentuck          / Maureen Stapleton,1925-6-21,-1,True,False,"
(22 July 1949            - 
1959) (    divorced) (    2 children)          ",Female,-1
 Ted Danson / Mary Steenburgen,1953-2-8,1947-12-29,True,True,"
(7 October 1995            - 
present)          ",Female,Male
 Malcolm McDowell / Mary Steenburgen,1953-2-8,1943-6-13,True,True,"
(29 September 1980            - 
1 October 1990) (    divorced) (    2 children)          ",Female,Male
 Peter Cookson / Beatrice Straight,1914-8-2,1913-5-8,True,False,"
(2 June 1949            - 
6 January 1990) (    his death) (    2 children)          ",Female,Male
 Louis Dolivet / Beatrice Straight,1914-8-2,1908-3-26,True,False,"
(March 1942            - 
24 May 1949) (    divorced)          ",Female,Male
 Franco Nero / Vanessa Redgrave,1937-1-30,1941-11-23,True,True,"
(31 December 2006            - 
present) (    1 child)          ",Female,Male
 Tony Richardson / Vanessa Redgrave,1937-1-30,1928-6-5,True,True,"
(29 April 1962            - 
28 April 1967) (    divorced) (    2 children)          ",Female,Male
 Joseph Feury / Lee Grant,1925-10-31,-1,True,True,"
(1973            - 
present)          ",Female,Male
 Arnold Manoff / Lee Grant,1925-10-31,1914-4-25,True,False,"
(October 1952            - 
1960) (    divorced) (    1 child)          ",Female,-1
               John Harrison Yankee Jr.          / Eileen Heckart,1919-3-29,-1,True,False,"
(26 June 1942            - 
23 February 1997) (    his death) (    4 children)          ",Female,-1
 George Englund / Cloris Leachman,1926-4-30,1926-6-22,True,True,"
(19 April 1953            - 
29 December 1978) (    divorced) (    5 children)          ",Female,Male
 Garson Kanin / Ruth Gordon,1896-10-30,1912-11-24,True,True,"
(4 December 1942            - 
28 August 1985) (    her death)          ",Female,Male
 Gregory Kelly / Ruth Gordon,1896-10-30,1891-3-16,True,False,"
(23 December 1918            - 
9 July 1927) (    his death)          ",Female,Male
               Peter Lenard Zimroth          / Estelle Parsons,1927-11-20,-1,True,False,"
(2 January 1983            - 
present) (    1 child)          ",Female,-1
 Richard Gehman / Estelle Parsons,1927-11-20,1921-5-20,True,False,"
(18 December 1953            - 
1958) (    divorced) (    2 children)          ",Female,Male
               Gerry DeFord          / Shelley Winters,1920-8-18,-1,True,False,"
(13 January 2006            - 
14 January 2006) (    her death)          ",Female,-1
 Anthony Franciosa / Shelley Winters,1920-8-18,1928-10-25,True,True,"
(4 May 1957            - 
18 November 1960) (    divorced)          ",Female,Male
 Vittorio Gassman / Shelley Winters,1920-8-18,1922-9-1,True,False,"
(28 April 1952            - 
2 June 1954) (    divorced) (    1 child)          ",Female,Male
               Capt. Mack Paul Mayer          / Shelley Winters,1920-8-18,-1,True,False,"
(1 January 1942            - 
1 October 1948) (    divorced)          ",Female,-1
 Peter Sarsgaard / Maggie Gyllenhaal,1977-11-16,1971-3-7,True,True,"
(2 May 2009            - 
present) (    2 children)          ",Female,Male
 Tom Cruise / Katie Holmes,1978-12-18,1962-7-3,False,True,"
(18 November 2006            - 
20 August 2012) (    divorced) (    1 child)          ",Female,Male
 Michael Pearce / Patty Duke,1946-12-14,-1,True,False,"
(15 March 1986            - 
29 March 2016) (    her death) (    1 child)          ",Female,Male
 John Astin / Patty Duke,1946-12-14,1930-3-30,True,True,"
(5 August 1972            - 
3 November 1985) (    divorced) (    1 child)          ",Female,Male
               Michael Tell          / Patty Duke,1946-12-14,-1,True,False,"
(26 June 1970            - 
9 July 1970) (    annulled) (    1 child)          ",Female,-1
 Harry Falk / Patty Duke,1946-12-14,1933-3-15,True,False,"
(26 November 1965            - 
24 March 1970) (    divorced)          ",Female,-1
               Dr. Leonard Isadore Gordon          / Rita Moreno,1931-12-11,-1,True,False,"
(18 June 1965            - 
30 June 2010) (    his death) (    1 child)          ",Female,-1
 Ronald Gow / Wendy Hiller,1912-8-15,1897-11-1,True,False,"
(25 February 1937            - 
27 April 1993) (    his death) (    2 children)          ",Female,-1
 Randall Hood / Miyoshi Umeki,1929-5-8,1928-8-6,True,False,"
(26 October 1968            - 
16 August 1976) (    his death) (    1 child)          ",Female,-1
 Win Opie / Miyoshi Umeki,1929-5-8,1924-2-16,True,False,"
(23 July 1958            - 
1967) (    divorced)          ",Female,Male
               Charles Huston Bell          / Dorothy Malone,1924-1-29,-1,True,False,"
(2 October 1971            - 
14 August 1973) (    divorced)          ",Female,-1
               Robert Tomarkin          / Dorothy Malone,1924-1-29,-1,True,False,"
(3 April 1969            - 
1 August 1969) (    annulled)          ",Female,-1
 Jacques Bergerac / Dorothy Malone,1924-1-29,1927-5-26,True,True,"
(28 June 1959            - 
8 December 1964) (    divorced) (    2 children)          ",Female,Male
               William Bales          / Jo Van Fleet,1915-12-29,-1,True,False,"
(1946            - 
8 September 1990) (    his death) (    1 child)          ",Female,-1
 Jeffrey Hayden / Eva Marie Saint,1924-7-4,1926-10-15,True,False,"
(28 October 1951            - 
24 December 2016) (    his death) (    2 children)          ",Female,Male
 Anthony Ray / Gloria Grahame,1923-11-28,1937-11-24,True,True,"
(13 May 1960            - 
4 May 1974) (    divorced) (    2 children)          ",Female,Male
 Cy Howard / Gloria Grahame,1923-11-28,1915-9-27,True,False,"
(15 August 1954            - 
31 October 1957) (    divorced) (    1 child)          ",Female,Male
 Nicholas Ray / Gloria Grahame,1923-11-28,1911-8-7,True,True,"
(1 June 1948            - 
14 August 1952) (    divorced) (    1 child)          ",Female,Male
 Stanley Clements / Gloria Grahame,1923-11-28,1926-7-16,True,False,"
(29 August 1945            - 
1 June 1948) (    divorced)          ",Female,Male
 Robert Emmett / Kim Hunter,1922-11-12,1921-9-28,True,False,"
(20 December 1951            - 
8 April 2000) (    his death) (    1 child)          ",Female,-1
               William A. Baldwin          / Kim Hunter,1922-11-12,-1,True,False,"
(11 February 1944            - 
12 February 1946) (    divorced) (    1 child)          ",Female,-1
               Mary Brako Hirsch          / Lee J. Cobb,1911-12-8,-1,True,False,"
(27 June 1957            - 
11 February 1976) (    his death) (    2 children)          ",Male,-1
 Helen Beverley / Lee J. Cobb,1911-12-8,1916-11-9,True,False,"
(7 February 1940            - 
28 July 1952) (    divorced) (    2 children)          ",Male,Female
 Sonni Pacheco / Jeremy Renner,1971-1-7,-1,True,False,"
(13 January 2014            - 
28 December 2015) (    divorced) (    1 child)          ",Male,Female
 Nancy Carell / Steve Carell,1962-8-16,1966-7-19,True,False,"
(5 August 1995            - 
present) (    2 children)          ",Male,Female
 Nathalie Pechalat / Jean Dujardin,1972-6-19,-1,True,False,"
(19 May 2018            - 
present) (    1 child)          ",Male,-1
 Alexandra Lamy / Jean Dujardin,1972-6-19,1971-10-14,True,False,"
(25 July 2009            - 
2014) (    divorced)          ",Male,Female
               Gaelle Demars          / Jean Dujardin,1972-6-19,-1,True,False,"
(199?            - 
2003) (    divorced) (    2 children)          ",Male,-1
               Quinn Lundberg          / Zach Galifianakis,1969-10-1,-1,False,False,"
(11 August 2012            - 
present) (    1 child)          ",Male,-1
 Viveca Paulin / Will Ferrell,1967-7-16,1969-4-24,True,False,"
(12 August 2000            - 
present) (    3 children)          ",Male,Female
 Mia Goth / Shia LaBeouf,1986-6-11,1993-11-0,False,False,"
(10 October 2016            - 
present) (    filed for divorce)          ",Male,Female
 Lauren Miller Rogen / Seth Rogen,1982-4-15,1982-7-24,False,False,"
(2 October 2011            - 
present)          ",Male,Female
               Tasha McCauley          / Joseph Gordon-Levitt,1981-2-17,-1,True,False,"
(20 December 2014            - 
present) (    2 children)          ",Male,-1
 Blake Lively / Ryan Reynolds,1976-10-23,1987-8-25,True,False,"
(9 September 2012            - 
present) (    3 children)          ",Male,Female
 Scarlett Johansson / Ryan Reynolds,1976-10-23,1984-11-22,True,True,"
(27 September 2008            - 
1 July 2011) (    divorced)          ",Male,Female
 Julie Rudd / Paul Rudd,1969-4-6,-1,True,False,"
(23 February 2003            - 
present) (    2 children)          ",Male,-1
 Arlene Silver / Dick Van Dyke,1925-12-13,-1,True,False,"
(29 February 2012            - 
present)          ",Male,Female
               Marjorie Torrell Willett          / Dick Van Dyke,1925-12-13,-1,True,False,"
(12 February 1948            - 
4 May 1984) (    divorced) (    4 children)          ",Male,-1
 Amanda Anka / Jason Bateman,1969-1-14,1968-12-10,True,False,"
(3 July 2001            - 
present) (    2 children)          ",Male,Female
 Miley Cyrus / Liam Hemsworth,1990-1-13,1992-11-23,False,True,"
(23 December 2018            - 
28 January 2020) (    divorced)          ",Male,Female
 Elizabeth Shatner / William Shatner,1931-3-22,-1,True,False,"
(13 February 2001            - 
present) (    filed for divorce)          ",Male,Female
 Nerine Kidd / William Shatner,1931-3-22,1959-7-13,True,False,"
(15 November 1997            - 
9 August 1999) (    her death)          ",Male,Female
 Marcy Lafferty / William Shatner,1931-3-22,1946-6-21,True,False,"
(20 October 1973            - 
11 December 1996) (    divorced)          ",Male,Female
 Gloria Rand / William Shatner,1931-3-22,1933-6-16,True,False,"
(12 August 1956            - 
4 March 1969) (    divorced) (    3 children)          ",Male,Female
 Karen Boyer / Gene Wilder,1933-6-11,-1,True,False,"
(8 September 1991            - 
29 August 2016) (    his death)          ",Male,Female
 Gilda Radner / Gene Wilder,1933-6-11,1946-6-28,True,False,"
(18 September 1984            - 
20 May 1989) (    her death)          ",Male,Female
               Mary Joan Schutz          / Gene Wilder,1933-6-11,-1,True,False,"
(27 October 1967            - 
24 November 1980) (    divorced) (    1 child)          ",Male,-1
 Mary Mercier / Gene Wilder,1933-6-11,1928-7-7,True,False,"
(22 July 1960            - 
1965) (    divorced)          ",Male,Female
 Michael Benton Adler / Thora Birch,1982-3-11,-1,True,False,"
(21 December 2018            - 
present)          ",Female,-1
 Milton H. Bren / Claire Trevor,1910-3-8,1904-6-14,True,False,"
(14 November 1948            - 
14 December 1979) (    his death)          ",Female,-1
               Cylos William Dunsmoor          / Claire Trevor,1910-3-8,-1,True,False,"
(16 May 1943            - 
15 August 1947) (    divorced) (    1 child)          ",Female,-1
 Clark Andrews / Claire Trevor,1910-3-8,1908-11-21,True,False,"
(27 July 1938            - 
13 July 1942) (    divorced)          ",Female,-1
 Frank Basile / Celeste Holm,1917-4-29,-1,True,False,"
(29 April 2004            - 
15 July 2012) (    her death)          ",Female,Male
 Wesley Addy / Celeste Holm,1917-4-29,1913-8-4,True,False,"
(22 May 1966            - 
31 December 1996) (    his death)          ",Female,Male
               Alexander Schuyler Dunning          / Celeste Holm,1917-4-29,-1,True,False,"
(21 March 1946            - 
6 May 1953) (    divorced) (    1 child)          ",Female,-1
               Francis Emerson Harding Davies          / Celeste Holm,1917-4-29,-1,True,False,"
(7 January 1940            - 
8 May 1945) (    divorced)          ",Female,-1
 Ralph Nelson / Celeste Holm,1917-4-29,1916-8-12,True,True,"
(11 September 1936            - 
1939) (    divorced) (    1 child)          ",Female,Male
               David Gutman Klee          / Anne Baxter,1923-5-7,-1,True,False,"
(30 January 1977            - 
15 October 1977) (    his death)          ",Female,-1
               Beverly Randolph Galt          / Anne Baxter,1923-5-7,-1,True,False,"
(18 February 1960            - 
29 January 1970) (    divorced) (    2 children)          ",Female,-1
 John Hodiak / Anne Baxter,1923-5-7,1914-4-16,True,False,"
(7 July 1946            - 
27 January 1953) (    divorced) (    1 child)          ",Female,Male
 Russell Colt / Ethel Barrymore,1879-8-15,-1,True,False,"
(14 March 1909            - 
6 July 1923) (    divorced) (    3 children)          ",Female,-1
 Carlos Pierre / Teresa Wright,1918-10-27,-1,True,False,"
(23 May 1966            - 
?)          ",Female,-1
 Robert Anderson / Teresa Wright,1918-10-27,1917-4-28,True,True,"
(11 December 1959            - 
29 October 1978) (    divorced)          ",Female,Male
 Niven Busch / Teresa Wright,1918-10-27,1903-4-26,True,True,"
(23 May 1942            - 
25 November 1952) (    divorced) (    2 children)          ",Female,Male
               Thomas Gordon Wheelock          / Mary Astor,1906-5-3,-1,True,False,"
(24 December 1945            - 
30 August 1955) (    divorced)          ",Female,-1
 Manuel del Campo / Mary Astor,1906-5-3,1913-11-14,True,False,"
(1936            - 
1941) (    divorced) (    1 child)          ",Female,-1
               Dr. Franklyn Thorpe          / Mary Astor,1906-5-3,-1,True,False,"
(29 June 1931            - 
12 April 1935) (    divorced) (    1 child)          ",Female,-1
 Kenneth Hawks / Mary Astor,1906-5-3,1898-8-12,True,False,"
(24 February 1928            - 
2 January 1930) (    his death)          ",Female,Male
               ?          / Jane Darwell,1879-10-15,-1,True,False,"
(?            - 
13 August 1967) (    her death)          ",Female,-1
 Michael Fassbender / Alicia Vikander,1988-10-3,1977-4-2,True,True,"
(14 October 2017            - 
present)          ",Female,Male
 Herbert J. Biberman / Gale Sondergaard,1899-2-15,1900-3-4,True,False,"
(8 May 1930            - 
30 June 1971) (    his death) (    2 children)          ",Female,Male
               Neill O'Malley          / Gale Sondergaard,1899-2-15,-1,True,False,"
(1922            - 
1930) (    divorced)          ",Female,-1
 Ben Falcone / Melissa McCarthy,1970-8-26,1973-8-25,True,False,"
(8 October 2005            - 
present) (    2 children)          ",Female,Male
 Jeff Richmond / Tina Fey,1970-5-18,1961-1-7,True,False,"
(3 June 2001            - 
present) (    2 children)          ",Female,Male
 Marco Perego Saldana / Zoe Saldana,1978-6-19,1979-3-1,False,False,"
(June 2013            - 
present) (    3 children)          ",Female,Male
 Fred Armisen / Elisabeth Moss,1982-7-24,1966-12-4,True,False,"
(25 October 2009            - 
13 May 2011) (    divorced)          ",Female,Male
 Scott Grimes / Adrianne Palicki,1983-5-6,1971-7-9,False,False,"
(19 May 2019            - 
present)          ",Female,Male
 Ben Affleck / Jennifer Garner,1972-4-17,1972-8-15,True,True,"
(29 June 2005            - 
7 November 2018) (    divorced) (    3 children)          ",Female,Male
 Scott Foley / Jennifer Garner,1972-4-17,1972-7-15,True,False,"
(19 October 2000            - 
30 March 2004) (    divorced)          ",Female,Male
 Hayes Hargrove / Kristen Wiig,1973-8-22,-1,True,False,"
(2005            - 
2009) (    divorced)          ",Female,Male
               Edward Leon Sostek          / June Squibb,1929-11-6,-1,True,False,"
(1953            - 
1959) (    divorced)          ",Male,-1
               Charles Kakatsakis          / June Squibb,1929-11-6,-1,True,False,"
(?            - 
10 July 1999) (    his death) (    1 child)          ",Male,-1
               Karl Cook          / Kaley Cuoco,1985-11-30,-1,False,False,"
(30 June 2018            - 
present)          ",Female,-1
 Ryan Sweeting / Kaley Cuoco,1985-11-30,-1,False,False,"
(31 December 2013            - 
6 May 2016) (    divorced)          ",Female,-1
 Katharine Towne / Charlie Hunnam,1980-4-10,1978-7-17,False,False,"
(25 July 1999            - 
2002) (    divorced)          ",Male,Female
 Sam Taylor-Johnson / Aaron Taylor-Johnson,1990-6-13,1967-3-4,True,False,"
(21 June 2012            - 
present) (    2 children)          ",Male,Female
 Robin Dearden / Bryan Cranston,1956-3-7,1953-12-4,True,False,"
(8 July 1989            - 
present) (    1 child)          ",Male,Female
               Michaelle Louise (Mickey) Middleton          / Bryan Cranston,1956-3-7,-1,True,False,"
(10 November 1977            - 
8 April 1982) (    divorced)          ",Male,-1
 Natalie Wihongi / Karl Urban,1972-6-7,-1,False,False,"
(16 September 2004            - 
present) (    separated) (    2 children)          ",Male,-1
 Alison Brie / Dave Franco,1985-6-12,1982-12-29,False,True,"
(March 2017            - 
present)          ",Male,Female
 Erica Schmidt / Peter Dinklage,1969-6-11,1975-6-8,True,False,"
(16 April 2005            - 
present) (    2 children)          ",Male,Female
 Shauna Robertson / Edward Norton,1969-8-18,-1,True,False,"
(29 November 2012            - 
present) (    1 child)          ",Male,Female
 Kate Mestitz / Guy Pearce,1967-10-5,1967-0-0,True,False,"
(15 March 1997            - 
2015) (    separated)          ",Male,Female
 Sunrise Coigney / Mark Ruffalo,1967-11-22,1972-9-17,True,False,"
(11 June 2000            - 
present) (    3 children)          ",Male,Female
 Carré Otis / Mickey Rourke,1952-9-16,1968-9-28,True,False,"
(26 June 1992            - 
1998) (    divorced)          ",Male,Female
 Debra Feuer / Mickey Rourke,1952-9-16,1959-1-12,True,False,"
(31 January 1981            - 
1989) (    divorced)          ",Male,Female
               Ruth Weil          / Frank Langella,1938-1-1,-1,True,False,"
(14 June 1977            - 
1996) (    divorced) (    2 children)          ",Male,-1
 Hannah Redmayne / Eddie Redmayne,1982-1-6,-1,True,False,"
(15 December 2014            - 
present) (    2 children)          ",Male,Female
 Logan Goodman / David Strathairn,1949-1-26,1950-12-24,True,False,"
(1980            - 
present) (    2 children)          ",Male,-1
 Mira Pak Howard / Terrence Howard,1969-3-11,-1,True,False,"
(3 December 2013            - 
27 July 2015) (    divorced) (    2 children)          ",Male,-1
               Michelle Ghent          / Terrence Howard,1969-3-11,-1,True,False,"
(20 January 2010            - 
2013) (    divorced)          ",Male,-1
               Lori McCommas          / Terrence Howard,1969-3-11,-1,True,False,"
(1993            - 
2003) (    divorced) (    3 children)          ",Male,-1
 Alex Kingston / Ralph Fiennes,1962-12-22,1963-3-11,True,False,"
(5 September 1993            - 
28 October 1997) (    divorced)          ",Male,Female
 Diana Hardcastle / Tom Wilkinson,1948-2-5,-1,True,False,"
(5 January 1988            - 
present) (    2 children)          ",Male,Female
               Margaret Hill          / Richard Farnsworth,1920-9-1,-1,True,False,"
(1947            - 
7 August 1985) (    her death) (    2 children)          ",Male,-1
 Clytie Lane / Nick Nolte,1941-2-8,-1,True,False,"
(8 September 2016            - 
present) (    1 child)          ",Male,Female
               Rebecca Linger          / Nick Nolte,1941-2-8,-1,True,False,"
(19 February 1984            - 
1994) (    divorced) (    1 child)          ",Male,-1
               Sharyn Haddad          / Nick Nolte,1941-2-8,-1,True,False,"
(10 May 1978            - 
16 February 1984) (    divorced)          ",Male,-1
 Sheila Page / Nick Nolte,1941-2-8,-1,True,False,"
(28 November 1966            - 
1970) (    divorced)          ",Male,-1
 Rory Keenan / Gemma Arterton,1986-2-2,1980-6-9,False,False,"
(15 September 2019            - 
present)          ",Female,Male
               Stefano Catelli          / Gemma Arterton,1986-2-2,-1,False,False,"
(5 June 2010            - 
21 August 2015) (    divorced)          ",Female,-1
 Tao Ruspoli / Olivia Wilde,1984-3-10,1975-11-7,False,False,"
(16 January 2003            - 
29 September 2011) (    divorced)          ",Female,-1
 Sacha Baron Cohen / Isla Fisher,1976-2-3,1971-10-13,False,True,"
(15 March 2010            - 
present) (    3 children)          ",Female,Male
 Johnny Depp / Amber Heard,1986-4-22,1963-6-9,False,True,"
(3 February 2015            - 
13 January 2017) (    divorced)          ",Female,Male
 Mark Webber / Teresa Palmer,1986-2-26,1980-7-19,False,False,"
(21 December 2013            - 
present) (    3 children)          ",Female,-1
 Max Handelman / Elizabeth Banks,1974-2-10,-1,False,False,"
(5 July 2003            - 
present) (    2 children)          ",Female,Male
 Howard Duff / Ida Lupino,1918-2-4,1913-11-24,False,False,"
(21 October 1951            - 
1984) (    divorced) (    1 child)          ",Female,Male
 Collier Young / Ida Lupino,1918-2-4,1908-8-19,False,False,"
(5 August 1948            - 
20 October 1951) (    divorced)          ",Female,Male
 Louis Hayward / Ida Lupino,1918-2-4,1909-3-19,False,False,"
(16 November 1938            - 
11 May 1945) (    divorced)          ",Female,Male
 Tyler Stanaland / Brittany Snow,1986-3-9,-1,False,False,"
(14 March 2020            - 
present)          ",Female,-1
 Jamie Bell / Kate Mara,1983-2-27,1986-3-14,False,False,"
(15 July 2017            - 
present) (    1 child)          ",Female,Male
